,malformed_label,correct_label
237,Kaiko,Kaikoura
238,NZ,NZs South Island
239,Puke,Pukekohe
240,Met,Methven
241,Kaiko,Kaikoura
242,New Zealand,New Zealands
243,Ara,Aramoana
244,Kaiko,Kaikoura
245,Kaiko,Kaikoura
246,New Zealand,New Zealands
247,kaiko,kaikoura
248,NewZeal,NewZealand
249,Kaiko,Kaikoura
250,Ng,Ngauranga
251,Fi,Fitzherbert Bridge
252,Waia,Waiau
253,NewZeal,NewZealand
254,Kaiko,Kaikoura
255,B,Blenheim
256,Kaiko,Kaikoura
257,NewZ,NewZealand
258,Kaiko,Kaikoura
259,South,South Island
260,NZ North Island,NZs North Island
261,Kai≈ç,Kaikōura
262,Kaiko,Kaikoura
263,New Zealand,New Zealands
264,Oh,Ohau Point
265,Wellington Phoenix,Wellington Phoenix
266,Kaiko,Kaikoura
267,Horn,Hornby
268,Wellington,Wellingtons
269,Kaiko,Kaikoura
270,NewZ,NewZealand
271,New Zealand,New Zealands
272,NZ,NZs
273,Kaiko,Kaikoura
274,Han,Hanmer springs
275,Waia,Waiau
276,NewZ,NewZealand
277,Kai,Kaikora
278,ka,kaikora
279,NewZeal,NewZealand
280,Kaiko,Kaikoura
281,U S,U.S.
282,Se,Seddon
283,Kaikor,Kaikorua
284,New,NewZealand
285,NewZ,NewZealand
286,Aki,Akita
287,South,South Island road & rail
288,W,WELLINGTON
289,NewZ,NewZealand
290,New Zealand,New Zealands
291,New Zealand,New Zealands
292,NewZ,NewZealand
293,Wain,Wainuiomata
294,kaiko,kaikoura
295,kaiko,kaikoura
296,NewZ,NewZealand
297,CA OR WA,CA OR
298,Kaiko,Kaikoura
299,Heath,Heathcote Valley
300,Waia,Waiau
301,Kaiko,Kaikoura
302,NewZ,NewZealand
303,Mal,Malvina
304,Kaiko,Kaikoura
305,Pi,Picton
306,Wai,Waikawa
307,Have,Havelock
308,H,HAWAII
309,NewZ,NewZealand
310,Kaiko,Kaikoura
311,Ra,Raglan
312,Kaiko,Kaikouras
313,NewZ,NewZealand
314,NZ,NZs
315,U S,U.S.
316,L,Lyall Bay
317,NewZ,NewZealand
318,C,Culverden
319,New Zealand,New Zealands
320,Kaiko,Kaikoura
321,Hat,Hataitai
322,kaiko,kaikoura
323,Ch,Cheviot
324,Kaiko,Kaikoura
325,NewZ,NewZealand
326,Kaiko,Kaikoura
327,Kaiko,Kaikoura
328,NE ZLA,NEW ZEALAND
329,Fu,Fukushima
330,North,Northland
331,Kaiko,Kaikoura
332,Kaiko,Kaikoura
333,O,Oaro
334,Wai,Waipara
335,Pi,Picton
336,NewZeal,NewZealand
337,Kaiko,Kaikoura
338,Kaiko,Kaikoura
339,NZ,NZs
340,Kaiko,Kaikoura
341,Kaiko,Kaikoura
342,G,Gisborne
343,Hu,Huka Falls
344,Kaiko,Kaikoura
345,NewZ,NewZealand
346,Rotherham Canterbury,Rotherham Canterbury
347,NewZeal,NewZealand
348,Kaiko,Kaikoura
349,Kaiko,Kaikoura
350,Kaiko,Kaikoura
351,C,Culverden
352,Kaiko,Kaikoura
353,NewZ,NewZealand
354,west,west coast marina
355,Kaiko,Kaikoura
356,Puna,Punawea
357,Tai,Tairei Mouth
358,NewZ,NewZealand
359,Kaiko,Kaikoura
360,Ra,Raglan
361,Lower Hu,Lower Hutt
362,Kaiko,Kaikoura
363,Kaiko,Kaikoura
364,Op,Opotiki
365,Kaiko,Kaikoura
366,Oxford,Oxfords
367,NewZ,NewZealand
368,New Zealand,New Zealands
369,U,U.S.
370,Kaiko,Kaikoura
371,NewZ,NewZealand
372,n,nz
373,Pi,Picton
374,well,wellington
375,K,KAIKOURA
376,New Zealand,New Zealands
377,Kaiko,Kaikoura
378,Bheim New Zealand,Blenheim New Zealand
379,NewZeal,NewZealand
380,Fu,Fukushima
381,Pi,Picton
382,Chatham,Chathams
383,C,Culverden
384,Ch,Cheviot
385,Se,Seddon
386,Ch,Cheviot
387,Wellington,Wellingtons
388,New Zealand,New Zealands
389,Kaiko,Kaikoura
390,Kaiko,Kaikoura
391,New Zealand,New Zealanders
392,well,wellington
393,Kaiko,Kaikoura
394,Pet,Petone
395,Ra,Raglan
396,NewZ,NewZealands
397,North,North Island
398,well,wellington
399,Hu,Hurunui
400,NewZeal,NewZealand
401,NewZ,NewZealand
402,well,wellington
403,Well,Welly
404,Pi,Picton
405,Kat,Katikati
406,NewZ,NewZealand
407,Kaiko,Kaikoura
408,New Zealand,New Zealands
409,Kaiko,Kaikoura
410,Ch,Cheviot
411,Fu,Fukushima
412,NewZeal,NewZealand
413,in,india
414,k,kerala
415,in,india
416,k,kerala
417,Jin,Jind
418,Kochi Alu,Kochi/ Aluva
419,Ka,Kadavanthra
420,k,kerala
421,Ma,Maharshtra
422,Piay,Pinarayi
423,Dad,Dadra Nagar Haveli
424,Koch,Kochi
425,Pam,Pamba
426,Palak,Palakkad
427,Muthal,Muthalamada
428,Ko,Kollangode
429,On,Onam
430,Peru,Perumbavoor
431,k,kerala
432,Piay,Pinarayi Vijayan
433,K,KERALA
434,k,kerala
435,pan,pandanad
436,chengur k,chengannur kerala
437,jod,jodupala
438,Ko,Kodagu
439,Para,Paramavu village
440,V,Vellappara
441,Hi,Hindon
442,Thiruvanantha,Thiruvananthapuram
443,Thirvanantha,Thiruvananthapuram
444,Ko,Kodagu
445,Ernaku,Ernakulam
446,Raj,Rajithan
447,Kadam,Kadamakkady
448,Sa,Sabarimala
449,k,kerela
450,K,KERALA
451,K,KODAGU
452,in,indias
453,B,BHUBANESWAR
454,ER,ERNAKULAM
455,Erna,Ernakulam
456,Bhu,Bhubaneswar
457,Bhu,Bhubaneswar
458,k,kerala
459,Pa,Palakkads
460,Man,Mangalam Dam
461,k,kerala
462,k,kerala
463,Na,Nagaland
464,Karun,Karunagapally
465,Nagarkov,Nagarkovil
466,Pa,Paliekkara
467,Palak,Palakkad
468,Ku,Kumbalam
469,Co,Cochin
470,Pathanam,Pathanamthitta
471,k,kerala
472,k,kerala
473,Poont,Poonthura
474,Jana,Janakpuri
475,Mad,Madapura
476,Karnataka,Karnatakas
477,Ku,Kushalnagar
478,Ko,Kodagu
479,Ko,Kodagu
480,k,kerala
481,Pathana,Pathanamthitta
482,I,Idukki
483,Na,Nadavayal
484,Edava,Edavaka Panchayat
485,Put,Puthussery
486,Ko,Kodagu
487,k,kerala
488,Koch,Kochi
489,Kai,Kaipathur
490,Ka,Kalady
491,Kerala,Keralam
492,Ko,Kodagu
493,Cheng,Chenganoor
494,Aratt,Arattupuzha
495,K,KERALA
496,k,kerala
497,Sing,Singareni
498,O,Omalloor Panchayat
499,Su,Sudarshan Chakra
500,Thir,Thiruvilla
501,Pathanam,Pathanamthita
502,Ang,Angamaly
503,Way,Wayanad
504,keral,kerala
505,k,kerala
506,AL,ALLAPUZHA
507,Pa,Pala
508,Ara,Aranmula
509,Nagal,Nagaland
510,Kerala,Keralas
511,Para,Paramashivam
512,Ko,Kodagu
513,k,kerala
514,k,kerala
515,Way,Wayanad
516,cheng,chenganur
517,Cheng,Chenganur
518,Piayi Vijay,Pinarayi Vijayan
519,And,Andaman
520,k,kerala
521,Kozhi,Kozhikode
522,Ara,Aranmula
523,Ara,Aranmula
524,Koch,Kochi
525,Kerala India,Kerala India
526,Ernaku,Ernakulam
527,I,Idukki
528,Ed,Edapally
529,Way,Waynad
530,Cheng,Chenganur
531,Koch,Kochi
532,Al,Aluva
533,Para,Paravoor
534,Ernakulam,Ernakulam district
535,Ni,Nilambur
536,Para,Paravur
537,Ernaku,Ernakulam
538,A,Aryanadu
539,Gujarat,Gujarath
540,Dr,Dravidanadu
541,Am,Amala
542,Chi,Chiranjeevi
543,Ma,MaheshBabu-
544,Ka,KalyanRam
545,V,VarunTej
546,Marahall,Marathahalli
547,Vizja,Vizhinjam
548,Po,Pozhiyoor
549,Vja,Vizhinjam
550,Kotta,Kottayam
551,Ku,Kuttanad
552,Pathanam,Pathanamthitta
553,Al,Aleppy
554,Him,Himalaya
555,Bihar UP Uttarakhand Odisha,Bihar UP
556,Ka,Kannur
557,Ka,Kannur
558,Ko,Kollur
559,Chengann,Chengannur
560,Mal,Malappuram
561,Gurg,Gurgaon
562,Kallan,Kallangadi
563,Ku,Kunnamkulam
564,Hotel Livia Tower Ku,Hotel Livia Tower Kunnamkulam
565,k,kerala
566,Koch,Kochi
567,Ke,Keral
568,k,kerala
569,Pathanam,Pathanamthitta
570,k,kerala
571,Ko,Kottiyur
572,Agart,Agartala
573,k,kerala
574,Mal,Malampuzhas
575,Val,Valiyakadu
576,Al,Aluva
577,Chengann,Chengannur
578,Lal,Lalkrishna
579,Kotta,Kottayam
580,k,kerala
581,ma,malakara temple
582,path,pathanamthitta
583,Kill,Killari
584,Ra,Rakhi
585,V,Vizag
586,Ko,Kodagu
587,Din,Dindugal
588,k,kerala
589,V,Vypeen
590,Ku,Kuttanad
591,TH,THrissur
592,Kerala Co,Kerala Coorg
593,Ke,Kerela
594,Ernaku,Ernakulam
595,Shi,Shirdi
596,Ko,Kodagu
597,k,kochi
598,Ba,Bakra
599,Dhara,Dharampuri
600,Ka,Kaggdaspura
601,Way,Wayanad
602,k,kerala
603,k,kerala
604,k,kerala
605,Adlux Convention Center Ang,Adlux Convention Center Angamaly
606,Ernaku,Ernakulam
607,Karuk,Karukutty
608,Kerala,Keralas
609,del,delhi
610,Ernaku,Ernakulam
611,k,kerala
612,Jalan,Jalandhar
613,agam,agamaly
614,k,kerala
615,Ke,Kerela
616,k,kerala
617,T,Tirupati Railway Station
618,Ka,Kadiyanthuruthil House
619,Na,Nagaland
620,Cheng,Chengannur
621,Pan,Pandanad
622,k,kerala
623,k,kerala
624,I,Idukki
625,New,NewDelhi
626,Se,Seva Bharti
627,Cheng,Chenganoor
628,k,kerala
629,E,Ezhikkath
630,Pathanam,Pathanamthitta
631,Ko,Kodagu
632,Cal,Calicut
633,Ka,Kannur
634,k,kodagu
635,Ko,Kodagu
636,Gurgao,Gurgaon
637,I,Idukki
638,Ko,Kozhincherry
639,Bhu,Bhubaneswar
640,Palak,Palakkad
641,Raj,Rajiv Gandhi
642,Chow,Chowara
643,Tir,Tirupati
644,Tir,Tirupati
645,Ko,Kodagu
646,Mu,Mulund
647,Bhandup Mumbai,Bhandup Mumbai
648,Kha,Khajuria
649,Ma,Maha
650,Ka,Kakkanad
651,keral,kerala
652,Thrik,Thrikkakara
653,Way,Wayanad
654,Para,Paravur
655,k,kerala
656,k,kerala
657,Abu,Abudhabi
658,Kanya,Kanyakumari
659,Thu,Thuckalay
660,Ernaku,Ernakulam
661,kott,kottiyur
662,Kann,Kannur
663,k,kerala
664,Mal,Maldives
665,Peru,Perumbavoor
666,k,kerala
667,Pam,Pampa
668,k,kerala
669,KAL,KERALA
670,KAL,KERALA
671,Jharkha,Jharkhand
672,Way,Wayanad
673,Ernaku,Ernakulam
674,Al,Aluva
675,Way,Wayanad
676,cheng,chengannur
677,k,kerala
678,Kozhi,Kozhikode
679,Pam,Pampa
680,A,Achankovil
681,Ku,Kuttanad
682,cheng,chengannur
683,Ka,Kasaragod
684,Palak,Palakkad
685,Thiruvanantha,Thiruvananthapuram
686,NorthP,NorthParavur
687,k,kerala
688,k,kerala
689,All,Allepy
690,Kong,Kongorpilly
691,Pa,Pallipad village
692,Way,Wayanad
693,Thirvanant,Thiruvananthapuram
694,La,Latur
695,B,Bhuj
696,B,Bhopal
697,k,kerala
698,Rat,Ratlam
699,Pa,Palghat
700,Ka,Kadungalloor
701,Ernaku,Ernakulam
702,Para,Paravur
703,Pandal,Pandalam
704,Kadan,Kadangaloor
705,chert,cherthala
706,Nell,Nelliampathi
707,Palak,Palakkad
708,Chalak,Chalakkudy
709,Ludhi,Ludhiana
710,Ku,Kuttanad
711,Pam,Pamba river
712,Thirval,Thiruvalla
713,k,kerala
714,Bengal,Bengaluru
715,k,kerala
716,Kahuku,Kanichukulangara
717,Alapha,Alappuzha district
718,Pa,Pallippad village
719,Karth,Karthikapally taluk
720,Maharashtra,Maharashtra State
721,Ko,Kottappuram
722,Al,Aluva
723,ka,kadavantra
724,k,kerala
725,V,Vaikom
726,Houston,Houstons
727,Texas,TexasCity
728,Ohio,Ohio Valley
729,U S,U.S.
730,San,SanAntonio
731,Cy,Cypress
732,U S,U.S.
733,H,HOUSTON
734,GA,GALVESTON
735,Houston,Houstons
736,ho,houston
737,T,TEXAS
738,Port,PortArthur
739,Middle,Middletown
740,Ex,ExxonMobil refineries
741,ho,houston
742,Channelview TX,Channelview TX
743,Texas Louisiana,Texas Louisiana
744,JeffersonC,JeffersonCounty
745,Rich,RichtonPark
746,Port,PortArthur
747,te,texas
748,H,HHouston
749,Pick,Pickens
750,L,LI
751,Port Arans,Port Aransas
752,Braz,Brazoria
753,T,TEXAS
754,texa,texas
755,euro,europe
756,Ridge,Ridgewood
757,P,PORT LAVACA
758,W,WOODLANDS
759,Rock,Rockport
760,U S,U.S.
761,Texas,Texas-
762,Wharton TX East Bernard TX,Wharton TX
763,Rock,Rockport
764,Ara,AransasCounty
765,Port,Port OConnor
766,P,Pewaukee
767,Tu,Tuscaloosa
768,Port,PortArthur
769,Port,PortArthur
770,Gveston TX,Galveston TX
771,Harris TX,Harris TX
772,TEX,TEXAS
773,Rock,Rockport
774,Port,PortArthur
775,Tex,Texan
776,Lu,Luling
777,ho,houston
778,Ho,HoUSton
779,U S,U.S.
780,ho,houston
781,M,MX
782,Mexico,Mexicos
783,T,Tx
784,Puerto,PuertoRico
785,Puerto,PuertoRico
786,Puerto,PuertoRico
787,US,US embassy
788,PuertoR,PuertoRico
789,Na,Naranjito
790,Puerto,PuertoRico
791,Puerto,PuertoRico-
792,N CAROL,N. CAROLINA
793,San Juan,San Juans
794,Rio Can,Rios Cana
795,Puerto,PuertoRico
796,Puerto,PuertoRico
797,PuertoR,PuertoRico
798,PuertoR,PuertoRico
799,U S,U.S.
800,Puerto Rico,Puerto Ricos
801,Puerto,PuertoRico
802,ST,STCroix
803,PuertoR,PuertoRico
804,Puerto Rico,Puerto Ricos
805,pu,puertorico
806,Puerto,PuertoRico
807,PuertoR,PuertoRicos
808,St,StThomas
809,us,usvi
810,DOMIN,DOMINICA
811,Puerto,PuertoRico
812,Dominic,Dominica
813,Ce,Ceiba
814,Puerto,PuertoRico
815,Vega Alt,Vega Alta
816,Puerto,PuertoRico
817,Puerto,PuertoRico
818,Dominic,Dominica
819,PuertoR,PuertoRico
820,PuertoR,PuertoRico
821,Puerto,PuertoRico
822,PuertoR,PuertoRico
823,PuertoR,PuertoRico
824,PuertoR,PuertoRico
825,Puerto,PuertoRico
826,Kali,Kalinago
827,PUERTO R,PUERTO RICO
828,pu,puertorico
829,Puerto,PuertoRico
830,Puerto,PuertoRico
831,PUERTO R,PUERTO RICO
832,Puerto,PuertoRico
833,Puerto,PuertoRico
834,PuertoR,PuertoRico
835,Puerto,PuertoRico
836,PuertoR,PuertoRico
837,U S,U.S.
838,Oc,Ocracoke Island
839,PuertoR,PuertoRico
840,PuertoR,PuertoRicos
841,PUEO R,PUERTO RICO
842,Dominic,Dominica
843,Ha,Hackney
844,lo,london
845,Puerto,PuertoRico
846,Puerto,PuertoRico
847,PuertoR,PuertoRico
848,Puerto,PuertoRico
849,Puerto,PuertoRico
850,Dominic,Dominica
851,Carolina,Carolinas
852,PuertoR,PuertoRico
853,Puerto,PuertoRico
854,Are,Arecibo
855,Puerto,PuertoRico
856,PuertoR,PuertoRico
857,Puerto Rico,Puerto Ricos
858,PuertoR,PuertoRico
859,PuertoR,PuertoRico
860,Puerto,PuertoRico
861,Puerto,PuertoRico
862,Puerto,PuertoRico
863,Dominic,Dominicas
864,Puerto,PuertoRico
865,pu,puertorico
866,Are,Arecibo
867,Puerto Rico,Puerto Ricos
868,Louisiana,Louisianans
869,Puerteo Rico,Puerteo Ricos
870,pu,puertorico
871,PuertoR,PuertoRico
872,Ai,Aibonito
873,Are,Arecibo
874,PuertoR,PuertoRico
875,PuertoR,PuertoRico
876,PuertoR,PuertoRico
877,PuertoR,PuertoRico
878,Puerto,PuertoRico
879,US Virgin Islands Puerto Rico,US Virgin Islands Puerto Rico
880,Puerto,PuertoRico
881,Caribbean,Caribbean island
882,PuertoR,PuertoRico
883,Puerto,PuertoRico
884,Puerto Rico,Puerto Ricos
885,Puerto,PuertoRico
886,Puerto,PuertoRico
887,Dominic,Dominica
888,pu,puertorico
889,Dominic,Dominica
890,Dominic,Dominica
891,Puerto,PuertoRico
892,Puerto Rico,Puerto Ricos
893,PuertoR,PuertoRico
894,Puerto,PuertoRico
895,Puerto,PuertoRico
896,PuertoR,PuertoRico
897,PuertoR,PuertoRico
898,Are,Arecibo
899,PuertoR,PuertoRico
900,Puerto,PuertoRico
901,Puerto,PuertoRico
902,Puerto,PuertoRico
903,PuertoR,PuertoRico
904,Are,Arecibo
905,PO R,PUERTO RICO
906,PUERTO R,PUERTO RICO
907,Puerto,PuertoRico
908,NC VA,NC VA
909,Are,Arecibo
910,Dominic,Dominica
911,Puerto,PuertoRico
912,Puerto,PuertoRico
913,Puerto,PuertoRico
914,PuertoR,PuertoRico
915,Are,Arecibo
916,Puerto,PuertoRic
917,MI,MIAMI
918,Oc,Ocracoke Island
919,PuertoR,PuertoRico
920,PuertoR,PuertoRico
921,PuertoR,PuertoRico
922,pu,puertorico
923,Puerto,PuertoRico
924,PuertoR,PuertoRico
925,PuertoR,PuertoRico
926,Puerto,PuertoRico
927,Puerto,PuertoRico
928,PuertoR,PuertoRico
929,PuertoR,PuertoRico
930,DominicanR,DominicanRepublic
931,Puerto Rico,Puerto Ricos
932,Puerto,PuertoRico
933,Puerto Rico,Puerto Ricos
934,Puerto,PuertoRico
935,San,SanSebastian
936,SA J,SAN JUAN
937,Puerto,PuertoRico
938,Puerto,PuertoRico
939,Are,Arecibo
940,Puerto,PuertoRico
941,PuertoR,PuertoRico
942,pu,puertorico
943,pu,puertorico
944,Gua,Guajataca Dam
945,pu,puertorico
946,Puerto,PuertoRico
947,PuertoR,PuertoRico
948,PuertoR,PuertoRico
949,Dominic,Dominica
950,Puerto,PuertoRico
951,Puerto,PuertoRico
952,Puerto,PuertoRico
953,Dominic,Dominica
954,Puerto,PuertoRico
955,PuertoR,PuertoRico
956,Puerto Rico,Puerto Ricos
957,Puerto,PuertoRico
958,PuertoR,PuertoRico
959,Puerto,PuertoRico
960,Puerto,PuertoRico
961,PuertoR,PuertoRico
962,PuertoR,PuertoRico
963,PuertoR,PuertoRico
964,PuertoR,PuertoRico
965,U S,U.S.
966,G,Guajataca
967,PuertoR,PuertoRico
968,Puerto Rico,Puerto Ricoalready
969,Puerto,PuertoRico
970,Puerto,PuertoRico
971,Puerto Rico,Puerto Ricos
972,PuertoR,PuertoRico
973,Puerto,PuertoRico
974,Puerto Rico,Puerto Ricos
975,CayoS,CayoSantiago
976,pu,puertorico
977,Puerto,PuertoRico
978,U,U.S.
979,Puerto,PuertoRico
980,Puerto,PuertoRico
981,ElY,ElYunque
982,Puerto,PuertoRico
983,Puerto,PuertoRico
984,Puerto,PuertoRico
985,Puerto R,Puerto Ri
986,PuertoR,PuertoRico
987,S,Spivak Foundation
988,United States,United States of America
989,pu,puertorico
990,PuertoR,PuertoRico
991,Puerto,PuertoRico
992,Puerto,PuertoRico
993,Puerto,PuertoRico
994,Dominic,Dominica
995,PuertoR,PuertoRico
996,PuertoR,PuertoRico
997,pu,puertorico
998,Puerto,PuertoRico
999,pu,puertorico
1000,Dominic,Dominica
1001,PuertoR,PuertoRico
1002,Puerto,PuertoRico
1003,Puerto,PuertoRico
1004,PR,PR island of Vieques
1005,Puerto,PuertoRico
1006,PuertoR,PuertoRico
1007,Puerto Rico,Puerto Ricos
1008,PuertoR,PuertoRico
1009,Puerto,PuertoRico
1010,San,SanJuan
1011,V,Vieques
1012,PuertoR,PuertoRico
1013,PuertoR,PuertoRico
1014,Catholic Cha,Catholic Charities of Central Florida
1015,Puerto,PuertoRico
1016,us,usa
1017,PuertoR,PuertoRico
1018,PUEO R,PUERTO RICO
1019,U S,U.S.
1020,Puerto,PuertoRico
1021,Ma,Maunabo
1022,Puerto,PuertoRico
1023,PuertoR,PuertoRico
1024,Puerto,PuertoRico
1025,Puerto,PuertoRico
1026,PuertoR,PuertoRico
1027,Puerto Rico,Puerto Ricos
1028,PuertoR,PuertoRico
1029,PuertoR,PuertoRico
1030,U. S. Virgin Islands,U.S. Virgin Islands
1031,Puerto,PuertoRico
1032,PuertoR,PuertoRico
1033,PuertoR,PuertoRico
1034,Puerto Rico,Puerto Ricos
1035,P R,P.R.
1036,Puerto Rico,Puerto Ricos
1037,PuertoR,PuertoRico
1038,Are,Arecibo
1039,PuertoR,PuertoRico
1040,PuertoR,PuertoRico
1041,Cam,Camuy
1042,Puerto,PuertoRico
1043,PuertoR,PuertoRico
1044,G,Guajataca
1045,Dominic,Dominica
1046,NEBR,NEBRASKA
1047,K,KANSAS
1048,ne,nebraska
1049,Dakota,Dakotas
1050,U,U.S.
1051,Dakota,Dakotas
1052,O,Oglala Lakota Nation
1053,Nebraska,Nebraskans
1054,ne,nebraska
1055,Ty,Tyndall
1056,Fr,Fremont
1057,NEBR,NEBRASKA
1058,El,Elkhorn River
1059,NEBR,NEBRASKA
1060,Nebraska,Nebraskas
1061,ne,nebraska
1062,Nebraska Iowa,Nebraska Iowa
1063,U S,U.S.
1064,Nebraska,Nebraskans
1065,North Carolina,North Carolina to Omaha
1066,Ashland Nebraska,Ashland Nebraska
1067,Mary,Marysville
